Ingredient1,Ingredient2,Cocktail_Count
fresh lemon juice,gin,24
sugar,water,23
orange juice,vodka,18
gin,grenadine,15
baileys irish cream,kahlua,15
lemon,powdered sugar,15
orange,sugar,14
grenadine,orange juice,13
dry vermouth,gin,13
fresh lemon juice,sugar,13
gin,triple sec,12
gin,lemon peel,12
orange juice,pineapple juice,11
cranberry juice,vodka,11
gin,sweet vermouth,11
ice,vodka,11
light rum,triple sec,11
carbonated water,powdered sugar,11
fresh lime juice,sugar,10
triple sec,vodka,10
fresh lime juice,light rum,10
gin,orange bitters,10
fresh lime juice,gin,10
light rum,sugar,10
maraschino cherry,orange,10
maraschino cherry,sugar,10
carbonated water,gin,10
lemon,sugar,9
grenadine,pineapple juice,9
fresh lemon juice,triple sec,9
sugar,vodka,9
fresh lemon juice,vodka,9
fresh lemon juice,orange,9
gin,powdered sugar,9
gin,vodka,9
milk,sugar,9
coffee,sugar,9
gin,lemon,9
light rum,powdered sugar,8
fresh lime juice,tequila,8
gin,maraschino liqueur,8
bitters,gin,8
lemon,light rum,8
fresh lemon juice,light rum,8
fresh lemon juice,grenadine,8
fresh lime juice,triple sec,8
gin,lime,8
carbonated water,lemon,8
fresh lime juice,rum,7
vodka,water,7
cinnamon,cloves,7
ice,lime,7
fresh lime juice,sugar syrup,7
bourbon,sugar,7
cherry,gin,7
ice,sugar,7
ice,orange juice,7
blended whiskey,lemon,7
gin,sugar,7
gin,sugar syrup,7
fresh lemon juice,sugar syrup,7
fresh lemon juice,maraschino cherry,7
sugar,vanilla extract,7
light rum,lime,7
tequila,vodka,7
tequila,triple sec,7
fresh lime juice,vodka,7
lemon,soda water,6
amaretto,orange juice,6
creme de cacao,light cream,6
gin,orange juice,6
gin,orange peel,6
red wine,sugar,6
brandy,lemon,6
lime,sugar,6
lemon,lime,6
lime,soda water,6
lemonade,vodka,6
fresh lemon juice,orange juice,6
gin,maraschino cherry,6
gin,soda water,6
fresh lemon juice,lemon peel,6
cranberry juice,orange juice,6
cherry,lemon,6
egg white,lemon,6
salt,tequila,6
rum,vodka,6
lemon peel,water,6
light cream,nutmeg,6
coffee,water,6
gin,orange,6
egg white,gin,6
amaretto,vodka,5
powdered sugar,water,5
blue curacao,vodka,5
cranberry juice,peach schnapps,5
ginger ale,ice,5
gin,tonic water,5
cinnamon,sugar,5
brandy,sugar,5
amaretto,light cream,5
orange peel,sweet vermouth,5
bourbon,water,5
dark rum,orange juice,5
soda water,sugar,5
lemon,orange,5
lemon,water,5
egg white,light rum,5
egg white,fresh lemon juice,5
kahlua,vodka,5
peach schnapps,vodka,5
orange juice,peach schnapps,5
scotch,sweet vermouth,5
lemon peel,sugar,5
club soda,sugar,5
fresh lemon juice,soda water,5
dry vermouth,lemon peel,5
blended whiskey,powdered sugar,5
cherry,powdered sugar,5
egg white,powdered sugar,5
salt,sugar,5
milk,vanilla extract,5
milk,nutmeg,5
brandy,triple sec,5
egg,nutmeg,5
campari,orange peel,5
gin,light rum,5
milk,water,5
gin,tequila,5
chocolate,milk,5
light rum,vodka,5
sugar syrup,vodka,5
egg white,grenadine,5
light rum,milk,4
milk,vanilla ice-cream,4
malibu rum,pineapple juice,4
angostura bitters,fresh lime juice,4
apricot brandy,orange juice,4
orange juice,triple sec,4
ginger ale,orange juice,4
club soda,fresh lemon juice,4
ice,lemon,4
cinnamon,water,4
amaretto,sour mix,4
orange juice,orange peel,4
orange juice,tequila,4
ice,triple sec,4
coffee,whipped cream,4
tonic water,vodka,4
lime,vodka,4
bourbon,maraschino cherry,4
orange juice,sugar syrup,4
dark rum,pineapple juice,4
cherry,orange bitters,4
maraschino liqueur,orange bitters,4
dry vermouth,orange bitters,4
grenadine,lemon,4
apple,lemon,4
lemon,red wine,4
apricot brandy,gin,4
apricot brandy,fresh lemon juice,4
water,yoghurt,4
salt,yoghurt,4
salt,water,4
baileys irish cream,coffee,4
coffee,kahlua,4
baileys irish cream,sambuca,4
kahlua,sambuca,4
cherry,sugar,4
cherry,triple sec,4
sugar,triple sec,4
orange juice,rum,4
orange juice,red wine,4
lemon peel,scotch,4
lemon peel,sweet vermouth,4
bourbon,lemon peel,4
dry vermouth,scotch,4
bitters,lemon peel,4
bitters,sugar,4
egg white,sugar,4
nutmeg,sugar,4
club soda,gin,4
brandy,lemon peel,4
gin,mint,4
soda water,sugar syrup,4
bourbon,fresh lemon juice,4
cider,lager,4
sprite,vodka,4
ice,rum,4
fresh lime juice,salt,4
fresh lime juice,mint,4
club soda,orange,4
club soda,maraschino cherry,4
brandy,light rum,4
brandy,gin,4
carbonated water,lemon peel,4
fresh lime juice,orange juice,4
vanilla extract,water,4
rum,water,4
campari,sweet vermouth,4
lemon peel,powdered sugar,4
mint,sugar,4
egg,powdered sugar,4
gin,sweet and sour,4
cinnamon,milk,4
cloves,sugar,4
ginger,water,4
lemon,tequila,4
soda water,vodka,4
ice,light rum,4
egg,milk,4
sweet and sour,vodka,4
coca-cola,gin,4
light rum,tequila,4
coca-cola,light rum,4
lemon,vodka,4
coca-cola,vodka,4
lemon peel,vodka,4
fresh lemon juice,ice,4
grenadine,vodka,4
orange bitters,sweet vermouth,4
dry vermouth,olive,4
nutmeg,powdered sugar,4
light rum,mint,4
lime,mint,4
ice,lemon peel,4
pineapple juice,triple sec,4
bitters,scotch,3
151 proof rum,grenadine,3
bitters,light rum,3
malibu rum,orange juice,3
cream,kahlua,3
fresh lime juice,grenadine,3
champagne,orange juice,3
coca-cola,lemon,3
grenadine,tequila,3
ice,tonic water,3
fresh lime juice,ice,3
fresh lemon juice,grand marnier,3
cranberry juice,pineapple juice,3
ice,lemonade,3
fresh lime juice,pepper,3
grapefruit juice,tequila,3
fresh lime juice,grapefruit juice,3
cinnamon,orange juice,3
cloves,orange juice,3
rum,sugar,3
champagne,sugar,3
amaretto,southern comfort,3
amaretto,ice,3
lemon,maraschino cherry,3
amaretto,creme de cacao,3
orange juice,sour mix,3
amaretto,triple sec,3
kahlua,milk,3
amaretto,cranberry juice,3
brandy,light cream,3
angostura bitters,vodka,3
angostura bitters,gin,3
angostura bitters,sweet vermouth,3
dry vermouth,maraschino liqueur,3
maraschino cherry,maraschino liqueur,3
lime,tonic water,3
grenadine,sugar syrup,3
dark rum,grenadine,3
bitters,dry vermouth,3
cherry,dry vermouth,3
grenadine,light rum,3
prosecco,soda water,3
apple juice,ice,3
apple,soda water,3
ice,soda water,3
strawberries,sugar,3
lemon,strawberries,3
apple,sugar,3
orange,red wine,3
brandy,red wine,3
brandy,orange,3
red wine,water,3
grenadine,lime,3
apricot brandy,triple sec,3
lime,triple sec,3
egg white,triple sec,3
dry vermouth,fresh lemon juice,3
grenadine,powdered sugar,3
orange juice,sweet and sour,3
baileys irish cream,frangelico,3
baileys irish cream,cream,3
butterscotch schnapps,milk,3
godiva liqueur,milk,3
baileys irish cream,vodka,3
gin,grand marnier,3
cherry,light rum,3
banana,milk,3
fruit,ice,3
ice,yoghurt,3
banana liqueur,pineapple juice,3
pineapple juice,rum,3
benedictine,gin,3
brandy,fresh lemon juice,3
bitters,sweet vermouth,3
dry vermouth,sweet vermouth,3
blue curacao,gin,3
bitters,maraschino cherry,3
bourbon,orange,3
mint,soda water,3
blended whiskey,cherry,3
blended whiskey,carbonated water,3
carbonated water,grenadine,3
lime,powdered sugar,3
carbonated water,light rum,3
